type,schedule,airline,plane,state,update_schedule,airport,gate,terminal,chkinrange
out,2024-01-30 14:00,중국동방항공,MU2018,출발,2024-01-30 14:15,웨이하이,127,P02,
out,2024-01-30 14:00,대한항공,KE5849,출발,2024-01-30 14:15,웨이하이,127,P02,
out,2024-01-30 14:00,제주항공,7C1512,출발,2024-01-30 14:10,히로시마,22,P01,
out,2024-01-30 14:00,산동항공,SC4612,출발,2024-01-30 14:02,칭다오,38,P01,
out,2024-01-30 14:00,아시아나항공,OZ6711,출발,2024-01-30 14:02,칭다오,38,P01,
out,2024-01-30 14:00,중국국제항공,CA8856,출발,2024-01-30 14:02,칭다오,38,P01,
out,2024-01-30 14:00,아시아나항공,OZ713,출발,2024-01-30 14:10,타이베이,7,P01,
out,2024-01-30 14:00,에바항공,BR2149,출발,2024-01-30 14:10,타이베이,7,P01,
out,2024-01-30 14:05,그레이터베이항공,HB761,출발,2024-01-30 14:21,홍콩,104,P02,
out,2024-01-30 14:05,대한항공,KE931,출발,2024-01-30 14:05,로마,231,P03,
out,2024-01-30 14:05,ITA항공,AZ7687,출발,2024-01-30 14:05,로마,231,P03,
out,2024-01-30 14:05,진에어,LJ241,출발,2024-01-30 14:22,오사카/ 간사이,250,P03,
out,2024-01-30 14:05,에어마카오,NX821,출발,2024-01-30 14:09,마카오,47,P01,
out,2024-01-30 14:05,아시아나항공,OZ6867,출발,2024-01-30 14:09,마카오,47,P01,
out,2024-01-30 14:10,티웨이항공,TW669,출발,2024-01-30 14:23,타이중/칭촨강,102,P02,
out,2024-01-30 14:10,아시아나항공,OZ114,출발,2024-01-30 14:33,오사카/ 간사이,15,P01,
out,2024-01-30 14:10,전일본공수 주식회사,NH6954,출발,2024-01-30 14:33,오사카/ 간사이,15,P01,
out,2024-01-30 14:10,에어 뉴질랜드,NZ4050,출발,2024-01-30 14:33,오사카/ 간사이,15,P01,
out,2024-01-30 14:10,에티하드 항공,EY8449,출발,2024-01-30 14:33,오사카/ 간사이,15,P01,
out,2024-01-30 14:10,아시아나항공,OZ365,출발,2024-01-30 14:17,상하이/푸동,9,P01,
out,2024-01-30 14:20,제주항공,7C1114,출발,2024-01-30 14:38,도쿄/나리타,110,P02,
out,2024-01-30 14:20,한 에어,H19768,출발,2024-01-30 14:38,도쿄/나리타,110,P02,
out,2024-01-30 14:20,중국동방항공,MU5022,출발,2024-01-30 14:34,시안,121,P02,
out,2024-01-30 14:20,대한항공,KE5871,출발,2024-01-30 14:34,시안,121,P02,
out,2024-01-30 14:20,상하이항공,FM3082,출발,2024-01-30 14:34,시안,121,P02,
